Timestamp,Src IP,Dst IP,Src Port,Dst Port,Protocol,Length,Src Packet Count,Dst Packet Count,Src Byte Count,Dst Byte Count,Src Port Count,Dst Port Count,Src Length StdDev,Dst Length StdDev
1736949858.712993,10.59.108.55,142.250.184.206,51475,443,6,105,50,9,15264,1658,9,1,378.9198956863294,207.50046854030097
1736949858.7219179,10.59.108.55,10.59.107.93,51666,8009,6,176,51,1,15440,176,9,1,375.54812438020537,0.0
1736949858.722423,142.250.184.206,10.59.108.55,443,51475,6,66,10,51,1724,15440,1,9,199.17340295442173,375.54812438020537
1736949858.744421,10.59.108.55,104.18.32.47,51716,443,6,54,52,0,15494,0,10,1,373.4445892455833,0.0
1736949858.7503428,104.18.32.47,10.59.108.55,443,51716,6,66,1,52,66,15494,1,10,0.0,373.4445892455833
1736949858.775336,10.59.107.93,10.59.108.55,8009,51666,6,176,2,52,352,15494,1,10,0.0,373.4445892455833
1736949858.776008,10.59.108.55,10.59.107.93,51666,8009,6,66,53,2,15560,352,10,1,371.20632009095925,0.0
1736949858.8679528,10.59.109.0,10.59.255.255,58976,51007,17,186,1,0,186,0,1,2,0.0,0.0
1736949858.888213,10.59.109.76,224.0.0.251,5353,5353,17,83,1,0,83,0,1,1,0.0,0.0
1736949861.01472,10.59.109.165,224.0.0.251,5353,5353,17,167,1,0,167,0,1,1,0.0,0.0
1736949861.086658,10.59.108.55,224.0.0.251,5353,5353,17,434,54,0,15994,0,10,1,368.1838688560569,0.0
1736949861.096284,0.0.0.0,255.255.255.255,68,67,17,342,1,0,342,0,1,1,0.0,0.0
1736949861.108657,10.59.109.169,239.255.255.250,44124,1900,17,384,3,0,1164,0,3,2,6.928203230275509,0.0
1736949861.232648,10.59.109.169,239.255.255.250,33863,1900,17,396,4,0,1560,0,4,2,6.928203230275509,0.0
1736949861.615407,10.59.108.55,104.18.32.47,51717,443,6,54,55,1,16048,66,11,1,366.21773987155916,0.0
1736949861.6236732,104.18.32.47,10.59.108.55,443,51717,6,66,2,55,132,16048,1,11,0.0,366.21773987155916
1736949861.701581,10.59.109.211,224.0.0.251,5353,5353,17,300,1,0,300,0,1,1,0.0,0.0
1736949861.777067,10.59.104.59,239.255.255.250,44320,1900,17,210,1,0,210,0,1,2,0.0,0.0
1736949862.245873,10.59.109.211,224.0.0.251,5353,5353,17,267,2,0,567,0,1,1,23.33452377915607,0.0
1736949862.448698,10.59.109.211,224.0.0.251,5353,5353,17,1007,3,0,1574,0,1,1,418.03867444691446,0.0
1736949863.079475,10.59.108.55,17.248.209.130,63314,443,6,130,56,15,16178,3069,11,1,363.51664603983676,117.13837970537242
1736949863.0806541,10.59.108.55,17.248.209.130,63314,443,6,429,57,15,16607,3069,11,1,360.7339983198973,117.13837970537242
1736949863.082162,10.59.108.55,17.248.209.130,63314,443,6,130,58,15,16737,3069,11,1,358.18279720408987,117.13837970537242
1736949863.0831099,10.59.108.55,17.248.209.130,63314,443,6,612,59,15,17349,3069,11,1,357.5694976446133,117.13837970537242
1736949863.095627,17.248.209.130,10.59.108.55,443,63314,6,66,16,59,3135,17349,1,11,118.35228134683337,357.5694976446133
1736949863.096572,17.248.209.130,10.59.108.55,443,63314,6,66,17,59,3201,17349,1,11,118.84851950375862,357.5694976446133
1736949863.097434,17.248.209.130,10.59.108.55,443,63314,6,298,18,59,3499,17349,1,11,118.16396329770859,357.5694976446133
1736949863.098113,17.248.209.130,10.59.108.55,443,63314,6,298,19,59,3797,17349,1,11,117.26904638380104,357.5694976446133
1736949863.098687,10.59.108.55,17.248.209.130,63314,443,6,66,60,19,17415,3797,11,1,355.7466545217113,117.26904638380104
1736949863.099326,10.59.108.55,17.248.209.130,63314,443,6,130,61,19,17545,3797,11,1,353.3658238489977,117.26904638380104
1736949863.099967,10.59.108.55,17.248.209.130,63314,443,6,453,62,19,17998,3797,11,1,351.0862015067224,117.26904638380104
1736949863.110817,17.248.209.130,10.59.108.55,443,63314,6,66,20,62,3863,17998,1,11,117.99967662756761,351.0862015067224
1736949863.111653,17.248.209.130,10.59.108.55,443,63314,6,297,21,62,4160,17998,1,11,117.22325057850287,351.0862015067224
1736949863.112185,10.59.108.55,17.248.209.130,63314,443,6,66,63,21,18064,4160,11,1,349.3879536279077,117.22325057850287
1736949863.116899,10.59.109.190,224.0.0.251,5353,5353,17,181,1,0,181,0,1,1,0.0,0.0
1736949863.151247,10.59.109.23,239.255.255.250,54638,1900,17,179,1,0,179,0,1,2,0.0,0.0
1736949863.153981,10.59.108.55,224.0.0.251,5353,5353,17,703,64,0,18767,0,11,1,350.4879474950397,0.0
1736949863.35998,10.59.109.211,224.0.0.251,5353,5353,17,1165,4,0,2739,0,1,1,467.9860218710241,0.0
1736949863.778105,10.59.108.55,10.59.107.93,51666,8009,6,176,65,2,18943,352,11,1,348.04287492845117,0.0
1736949863.786627,10.59.107.93,10.59.108.55,8009,51666,6,176,3,65,528,18943,1,11,0.0,348.04287492845117
1736949863.788228,10.59.108.55,10.59.107.93,51666,8009,6,66,66,3,19009,528,11,1,346.46822442488224,0.0
1736949864.4952252,10.59.109.169,239.255.255.250,40912,1900,17,408,5,0,1968,0,5,2,10.039920318408907,0.0
1736949864.4962409,10.59.109.169,239.255.255.250,36086,1900,17,417,6,0,2385,0,6,2,13.111064030047295,0.0
1736949864.4969852,10.59.109.169,239.255.255.250,60282,1900,17,464,7,0,2849,0,7,2,27.83882181415011,0.0
1736949865.858329,10.59.108.55,10.59.0.1,63444,53,17,64,67,0,19073,0,12,1,344.92091267681803,0.0
1736949865.8594391,10.59.108.55,10.59.0.1,55596,53,17,64,68,0,19137,0,13,1,343.38152994846035,0.0
1736949865.871837,10.59.0.1,10.59.108.55,53,63444,17,64,1,68,64,19137,1,13,0.0,343.38152994846035
1736949865.8740978,10.59.0.1,10.59.108.55,53,55596,17,64,2,68,128,19137,1,13,0.0,343.38152994846035
1736949865.875464,10.59.109.0,10.59.255.255,58976,51007,17,186,2,0,372,0,1,2,0.0,0.0
1736949865.884587,10.59.108.55,10.59.0.1,57747,53,17,78,69,2,19215,128,14,1,341.7259655774962,0.0
1736949865.885813,10.59.108.55,10.59.0.1,53255,53,17,78,70,2,19293,128,15,1,340.08584989706213,0.0
1736949865.892843,10.59.0.1,10.59.108.55,53,53255,17,206,3,70,334,19293,1,15,81.98373822492687,340.08584989706213
1736949865.898562,10.59.0.1,10.59.108.55,53,57747,17,78,4,70,412,19293,1,15,68.98308971528216,340.08584989706213
1736949865.903191,10.59.108.55,172.224.132.72,61774,443,17,1392,71,0,20685,0,16,1,362.7118472074324,0.0
1736949865.928031,172.224.132.72,10.59.108.55,443,61774,17,1242,1,71,1242,20685,1,16,0.0,362.7118472074324
1736949865.930113,10.59.108.55,172.224.132.72,61774,443,17,156,72,1,20841,1242,16,1,360.50148707473954,0.0
1736949865.9312372,10.59.108.55,172.224.132.72,61774,443,17,1392,73,1,22233,1242,16,1,380.5369009081982,0.0
1736949865.9323032,10.59.108.55,172.224.132.72,61774,443,17,106,74,1,22339,1242,16,1,378.6257396941975,0.0
1736949865.933337,10.59.108.55,172.224.132.72,61774,443,17,734,75,1,23073,1242,16,1,379.35459558200847,0.0
1736949865.9342358,10.59.108.55,172.224.132.72,61774,443,17,734,76,1,23807,1242,16,1,379.97761776188867,0.0
1736949865.935376,10.59.108.55,172.224.132.72,61774,443,17,734,77,1,24541,1242,16,1,380.50270962251386,0.0
1736949865.936085,10.59.108.55,172.224.132.72,61774,443,17,164,78,1,24705,1242,16,1,378.42951866814053,0.0
1736949865.9385998,10.59.108.55,17.248.209.72,63333,443,6,78,79,0,24783,0,17,1,376.953991339987,0.0
1736949865.9472692,17.248.209.72,10.59.108.55,443,63333,6,74,1,79,74,24783,1,17,0.0,376.953991339987
1736949865.948672,10.59.108.55,17.248.209.72,63333,443,6,66,80,1,24849,74,17,1,375.58307391493616,0.0
1736949865.9494421,10.59.108.55,17.248.209.72,63333,443,6,583,81,1,25432,74,17,1,374.45340081606423,0.0
1736949865.950283,172.224.132.72,10.59.108.55,443,61774,17,861,2,81,2103,25432,1,17,269.4076836320746,374.45340081606423
1736949865.951127,172.224.132.72,10.59.108.55,443,61774,17,74,3,81,2177,25432,1,17,595.6444689018217,374.45340081606423
1736949865.951829,10.59.108.55,172.224.132.72,61774,443,17,85,82,3,25517,2177,17,1,372.9928714788581,595.6444689018217
1736949865.952501,172.224.132.72,10.59.108.55,443,61774,17,74,4,82,2251,25517,1,17,585.4020698061576,372.9928714788581
1736949865.9531908,172.224.132.72,10.59.108.55,443,61774,17,99,5,82,2350,25517,1,17,547.7540506468208,372.9928714788581
1736949865.95385,172.224.132.72,10.59.108.55,443,61774,17,73,6,82,2423,25517,1,17,516.0385321530425,372.9928714788581
1736949865.954518,10.59.108.55,172.224.132.72,61774,443,17,85,83,6,25602,2423,17,1,371.5419518447484,516.0385321530425
1736949865.9552069,172.224.132.72,10.59.108.55,443,61774,17,73,7,83,2496,25602,1,17,487.3899387358672,371.5419518447484
1736949865.9558778,172.224.132.72,10.59.108.55,443,61774,17,73,8,83,2569,25602,1,17,462.23909629417665,371.5419518447484
1736949865.9576871,172.224.132.72,10.59.108.55,443,61774,17,73,9,83,2642,25602,1,17,440.22440615869743,371.5419518447484
1736949865.958594,172.224.132.72,10.59.108.55,443,61774,17,73,10,83,2715,25602,1,17,420.86689635138146,371.5419518447484
