Timestamp,Src IP,Dst IP,Src Port,Dst Port,Protocol,Length
1736948810.66466,142.250.185.74,10.59.108.55,443,51641,6,1466
1736948810.665076,10.59.108.55,142.250.185.74,51641,443,6,66
1736948810.665654,142.250.185.74,10.59.108.55,443,51641,6,1466
1736948810.666062,142.250.185.74,10.59.108.55,443,51641,6,1466
1736948810.666482,142.250.185.74,10.59.108.55,443,51641,6,1466
1736948810.6671731,10.59.108.55,142.250.185.74,51641,443,6,66
1736948810.668221,10.59.108.55,142.250.185.74,51641,443,6,66
1736948810.668832,142.250.185.74,10.59.108.55,443,51641,6,1466
1736948810.669384,142.250.185.74,10.59.108.55,443,51641,6,1466
1736948810.6697369,10.59.108.55,142.250.185.74,51641,443,6,66
1736948810.670354,10.59.108.55,142.250.185.74,51641,443,6,66
1736948810.670843,142.250.185.74,10.59.108.55,443,51641,6,1466
1736948810.671226,142.250.185.74,10.59.108.55,443,51641,6,1224
1736948810.671606,142.250.185.74,10.59.108.55,443,51641,6,105
1736948810.671905,51.104.15.252,10.59.108.55,443,51604,6,66
1736948810.672195,51.104.15.252,10.59.108.55,443,51604,6,66
1736948810.672568,51.104.15.252,10.59.108.55,443,51604,6,105
1736948810.6728609,10.59.108.55,51.104.15.252,51604,443,6,66
1736948810.6731572,10.59.108.55,142.250.185.74,51641,443,6,66
1736948810.673528,10.59.108.55,142.250.185.74,51641,443,6,105
1736948810.679649,142.250.185.74,10.59.108.55,443,51641,6,66
1736948810.6800342,10.59.107.232,10.59.255.255,57621,57621,17,86
1736948810.685813,142.250.185.74,10.59.108.55,443,51641,6,66
1736948810.692959,51.104.15.252,10.59.108.55,443,51604,6,164
1736948810.6934242,10.59.108.55,51.104.15.252,51604,443,6,66
1736948810.695303,10.59.108.55,51.104.15.252,51604,443,6,101
1736948810.714932,10.59.107.232,10.59.255.255,57621,57621,17,86
1736948810.7691898,51.104.15.252,10.59.108.55,443,51604,6,66
1736948811.041192,10.59.108.55,35.186.224.44,63000,443,6,98
1736948811.041766,10.59.108.55,35.186.224.44,63000,443,6,98
1736948811.042211,10.59.108.55,35.186.224.44,63000,443,6,98
1736948811.042641,10.59.108.55,35.186.224.44,63000,443,6,98
1736948811.0430589,10.59.108.55,35.186.224.44,63000,443,6,98
1736948811.0434618,10.59.108.55,35.186.224.44,63000,443,6,98
1736948811.043892,10.59.108.55,35.186.224.44,63000,443,6,98
1736948811.064554,35.186.224.44,10.59.108.55,443,63000,6,66
1736948811.0728252,35.186.224.44,10.59.108.55,443,63000,6,94
1736948811.0733519,35.186.224.44,10.59.108.55,443,63000,6,94
1736948811.073833,35.186.224.44,10.59.108.55,443,63000,6,94
1736948811.074333,35.186.224.44,10.59.108.55,443,63000,6,112
1736948811.0747578,10.59.108.55,35.186.224.44,63000,443,6,66
1736948811.076407,10.59.108.55,142.250.185.131,51636,443,6,54
1736948811.0881321,142.250.185.131,10.59.108.55,443,51636,6,66
1736948811.1863658,10.59.108.55,10.59.107.93,51441,8009,6,176
1736948811.2371452,10.59.109.0,10.59.255.255,58976,51007,17,186
1736948811.882039,10.59.108.55,17.248.209.129,63281,443,6,129
1736948811.882672,10.59.108.55,17.248.209.129,63281,443,6,426
1736948811.884253,10.59.108.55,17.248.209.129,63281,443,6,130
1736948811.884743,10.59.108.55,17.248.209.129,63281,443,6,613
1736948811.8984761,17.248.209.129,10.59.108.55,443,63281,6,66
1736948811.89961,17.248.209.129,10.59.108.55,443,63281,6,66
1736948811.900099,17.248.209.129,10.59.108.55,443,63281,6,298
1736948811.900463,10.59.108.55,17.248.209.129,63281,443,6,66
1736948811.9057658,17.248.209.129,10.59.108.55,443,63281,6,298
